,Reaction Products,Counts,Frequency [%]
1180,pi-+pi++n+n+p+D2+He4+He4,2,0.002
1181,n+p+p+p+p+C12+C12,2,0.002
1182,pi++n+B12+C12,2,0.002
1183,pi-+D2+Al26,1,0.001
1184,pi-+n+n+n+n+p+p+p+p+C12+Ne20,1,0.001
1185,n+n+n+He3+He3+He4+C12,1,0.001
1186,n+p+B12+C12+Al27,1,0.001
1187,pi-+n+n+n+p+p+D2+He3+He3+C12,1,0.001
1188,n+n+n+p+p+T3+He4+He4+He4+He4+He4,1,0.001
1189,pi-+n+n+p+p+D2+D2+C12+Ne20,1,0.001
1190,n+n+n+n+n+n+p+p+p+p+p+D2+He4+C12,1,0.001
1191,n+n+n+n+n+p+p+p+p+p+D2+T3+C13,1,0.001
1192,n+n+p+p+p+D2+He4+He4+C12+C12+C12+C12,1,0.001
1193,n+n+n+n+n+n+n+p+p+p+p+p+p+p+D2+B12,1,0.001
1194,n+n+p+p+D2+T3+He4+C12+C12+Al27,1,0.001
1195,n+n+n+n+p+p+p+p+p+T3+He4,1,0.001
1196,n+n+n+p+p+p+T3+He4+C12+O16,1,0.001
1197,pi-+n+p+p+D2+D2+T3+He3+C12,1,0.001
1198,n+n+p+C12+Al27,1,0.001
1199,pi++n+n+n+n+n+p+p+D2+D2+D2+C12,1,0.001
1200,pi-+n+n+p+p+C12+C12+Mg24,1,0.001
1201,n+n+n+n+p+p+p+Be7+C12+C12+C12,1,0.001
1202,n+p+p+T3+Li7+C12,1,0.001
1203,p+D2+T3+T3+He4,1,0.001
1204,n+p+p+p+D2+D2+He6,1,0.001
1205,pi++n+n+n+p+D2+T3+He4+C12,1,0.001
1206,n+n+n+n+n+p+p+p+D2+D2+D2+C12,1,0.001
1207,pi-+n+p+p+p+D2+D2+D2+He4,1,0.001
1208,pi-+n+p+p+p+T3+T3+He3,1,0.001
1209,p+C12+C12+C13+Al27,1,0.001
1210,p+C12+Mg27,1,0.001
1211,n+n+p+C12+C12+Al26,1,0.001
1212,n+T3+He4+Li5+C12,1,0.001
1213,n+n+n+n+p+p+p+p+p+p+N18,1,0.001
1214,p+p+p+C12+Al27,1,0.001
1215,pi-+n+p+p+B10+C13,1,0.001
1216,pi-+n+n+n+p+p+p+p+Li6+C12,1,0.001
1217,n+n+n+n+p+p+p+p+p+D2+C12+C12+O18,1,0.001
1218,pi-+n+n+p+p+D2+He3+He4+C12+C12,1,0.001
1219,pi-+n+n+n+p+p+p+p+p+Li6+C12,1,0.001
1220,n+n+p+He3+He4+He4+Al27,1,0.001
1221,pi++n+n+n+n+n+n+n+p+p+p+D2+He4+C12+C12,1,0.001
1222,p+B12+C13,1,0.001
1223,n+p+p+p+D2+D2+T3+He4+C12+C12,1,0.001
1224,n+n+n+n+n+p+p+p+p+D2+D2+C12+C13,1,0.001
1225,pi-+n+p+D2+He4+Li5+C12,1,0.001
1226,n+n+C11+C12+C12+C12+C12,1,0.001
1227,p+p+p+p+p+p+C12+C12+C12+C12+C12,1,0.001
1228,n+n+p+Mg25+Al27+Al27,1,0.001
1229,n+n+n+n+p+p+p+p+D2+He4+C14,1,0.001
1230,pi++n+n+n+n+n+n+n+p+p+D2+He4+N13,1,0.001
1231,n+n+n+n+n+n+p+p+p+p+p+p+D2+C12+C14,1,0.001
1232,n+n+n+p+p+p+Li7+C12+Al27,1,0.001
1233,n+n+n+n+p+p+p+p+D2+C12+O18,1,0.001
1234,pi++n+n+p+p+B11+C12,1,0.001
1235,pi-+n+n+p+C12+Al25,1,0.001
1236,n+n+p+p+p+He4+F20,1,0.001
1237,pi-+n+p+p+p+D2+D2+D2+T3,1,0.001
1238,pi++n+n+n+n+D2+He3+He4+C12,1,0.001
1239,n+n+n+n+n+p+p+p+D2+D2+C12+C12+O16,1,0.001
1240,pi-+n+p+C12+C12+Al26,1,0.001
1241,p+C13,1,0.001
1242,n+n+n+n+p+D2+Be6+C12+C12,1,0.001
1243,p+p+p+p+p+He4+Be9+C12+C12+C12,1,0.001
1244,pi-+n+p+C12+N12,1,0.001
1245,n+n+n+n+n+p+p+B7,1,0.001
1246,p+p+p+p+C13,1,0.001
1247,n+n+n+n+n+n+p+p+p+p+p+He3+C12,1,0.001
1248,n+n+n+n+n+p+p+C12+Na21+Al27,1,0.001
1249,n+n+n+n+p+p+D2+C12+Ne20,1,0.001
1250,n+n+p+He3+He4+He4+C12+C12+C12,1,0.001
1251,n+n+n+n+n+p+p+p+D2+D2+He4+He4+He4+He4,1,0.001
1252,p+p+p+p+C12+C12+C12+C13,1,0.001
1253,n+n+n+p+p+He4+He5+C12,1,0.001
1254,n+n+n+n+n+p+p+p+p+p+p+T3+C12+C12,1,0.001
1255,pi-+n+n+p+p+p+D2+T3+He3+C12,1,0.001
1256,n+D2+C12+Mg25,1,0.001
1257,n+n+p+D2+Mg24,1,0.001
1258,n+n+n+n+p+D2+D2+He4+O15,1,0.001
1259,n+n+n+He3+Be7+C12,1,0.001
1260,n+n+n+p+p+C10+C12,1,0.001
1261,n+p+p+He4+C12+F21,1,0.001
1262,p+p+He4+Be9+C12+C12+C12,1,0.001
1263,pi++n+n+T3+He4+He4+Al27+Al27,1,0.001
1264,n+n+n+p+He3+Be7+C12,1,0.001
1265,n+p+p+p+C12+Al27,1,0.001
1266,p+C12+C12+C12+C12+C12+C12,1,0.001
1267,n+p+D2+T3+T3+He4,1,0.001
1268,n+n+n+n+p+p+p+C13+Ne21,1,0.001
1269,n+n+n+n+n+p+p+p+Be7,1,0.001
1270,pi-+n+p+p+p+p+D2+He6,1,0.001
1271,n+p+p+C12+C12+Na25,1,0.001
1272,n+n+n+p+p+p+D2+D2+T3+C12+C12,1,0.001
1273,n+n+p+p+p+D2+T3+He4+C12+C12+C12,1,0.001
1274,n+n+n+n+p+p+p+p+T3+T3,1,0.001
1275,pi++n+n+n+n+n+p+He3+He4+C12+C12,1,0.001
1276,n+n+n+n+n+n+n+p+p+p+p+p+p+p+C12,1,0.001
1277,n+n+n+n+p+p+D2+D2+D2+He4+He4+He4+He4,1,0.001
1278,n+p+p+p+p+C12+C12+C12+Mg26,1,0.001
1279,p+p+p+B12+C12,1,0.001
1280,pi++n+n+n+p+p+T3+He5+C12,1,0.001
1281,n+p+T3+B9,1,0.001
1282,n+n+n+n+p+C12+C12+Mg23,1,0.001
1283,n+n+p+p+p+p+F22,1,0.001
1284,n+n+n+p+p+He4+He4+C12+C12+C12+C13,1,0.001
1285,n+n+n+n+n+n+n+p+p+p+p+p+p+N15,1,0.001
1286,pi-+pi-+p+p+C11+C12,1,0.001
1287,n+n+n+n+p+D2+Be6+C12,1,0.001
1288,p+p+p+D2+B11,1,0.001
1289,pi++n+n+n+p+p+Be9+C12+C12,1,0.001
1290,n+p+T3+Be9,1,0.001
1291,n+n+p+p+C12+C12+Mg25,1,0.001
1292,pi++n+n+B11+C12+C12+C12,1,0.001
1293,pi++n+n+n+n+n+p+p+p+Li6+C12,1,0.001
1294,pi-+n+n+p+p+p+p+p+T3+T3+C12,1,0.001
1295,pi-+pi++n+n+p+D2+He4+He4+C12+C12,1,0.001
1296,pi-+n+p+p+He3+He4+He4+C12+C12,1,0.001
1297,n+n+p+p+D2+B9,1,0.001
1298,pi-+p+p+p+D2+T3+Li6+C12+C12+C12,1,0.001
1299,n+n+p+p+p+He4+Li6,1,0.001
1300,pi-+n+n+n+n+p+p+p+He3+He4+N14,1,0.001
1301,n+p+p+p+T3+He4+He4+C12+C12,1,0.001
1302,n+n+p+p+p+He4+Be7,1,0.001
1303,n+n+n+n+p+p+D2+He4+C12+C12+O16,1,0.001
1304,pi-+n+n+n+p+p+p+p+D2+He4+Al27,1,0.001
1305,n+n+n+n+n+p+p+He3+F18,1,0.001
1306,pi-+n+p+p+D2+He4+He4+C12+C12+C12,1,0.001
1307,pi++n+n+n+n+p+D2+Li6+Al27,1,0.001
1308,pi++n+n+n+p+p+D2+T3+He4+C12,1,0.001
1309,n+n+p+p+He3+He4+He4+C12+C12,1,0.001
1310,pi++n+n+n+n+n+p+D2+Ne20,1,0.001
1311,p+p+He4+Be9+Al27,1,0.001
1312,n+n+n+n+n+n+n+p+p+p+He3+He4+C11+C12,1,0.001
1313,n+p+p+p+He4+He4+He4+C12+C12+C12+C12,1,0.001
1314,n+p+p+p+p+p+He4+He4+He4+C12+C12,1,0.001
1315,pi-+n+p+p+p+T3+Ne21,1,0.001
1316,pi-+n+n+n+n+n+n+p+p+p+p+p+p+p+N15,1,0.001
1317,pi++n+n+n+n+n+n+p+p+C12+Ne20,1,0.001
1318,n+n+n+n+p+p+p+p+D2+D2+T3+C13,1,0.001
1319,p+p+p+B12+C12+C12,1,0.001
1320,pi-+n+p+p+p+D2+T3+He4+N15,1,0.001
1321,p+p+B12+C12+C12,1,0.001
1322,pi-+n+p+p+B10+C12+C12+Al27,1,0.001
1323,n+n+p+p+p+Li9,1,0.001
1324,n+n+D2+D2+Be7+C12,1,0.001
1325,pi-+n+n+n+p+p+D2+Be6+C12,1,0.001
1326,pi-+n+n+n+p+p+p+p+p+Ne21,1,0.001
1327,p+p+p+p+p+C12+C12+Al27,1,0.001
1328,p+D2+T3+Li7,1,0.001
1329,n+p+p+p+He4+He6+C12,1,0.001
1330,n+n+n+p+p+p+C12+C12+Ne22,1,0.001
1331,pi-+n+p+p+p+D2+Ne22,1,0.001
1332,p+p+p+p+p+C12+C12+C12+C12+Al27,1,0.001
1333,p+D2+T3+T3+He4+C12,1,0.001
1334,pi++n+n+n+n+p+Be9,1,0.001
1335,pi-+n+p+p+p+p+D2+He4+He4+C12+C12,1,0.001
1336,n+n+n+n+n+p+p+p+p+p+He4+C12+C12,1,0.001
1337,n+n+n+n+n+p+p+p+Na21,1,0.001
1338,n+n+p+p+Be9+C12+C13,1,0.001
1339,p+p+D2+Be10+C12+C12+C12+Al27,1,0.001
1340,n+n+n+n+p+D2+He3+He3+C12+C12,1,0.001
1341,pi-+n+n+n+p+p+p+D2+D2+F18,1,0.001
1342,n+n+p+p+T3+Be7,1,0.001
1343,pi++n+n+n+n+n+n+n+p+p+p+p+p+D2,1,0.001
1344,n+n+n+n+p+p+p+p+p+D2+He4+N15,1,0.001
1345,n+n+n+n+p+p+p+p+He4+He4+C13,1,0.001
1346,n+n+p+p+T3+T3+He3,1,0.001
1347,pi-+n+D2+He3+He3+He4,1,0.001
1348,n+p+p+p+Be10+C12+C12+C12+C12,1,0.001
1349,n+n+n+n+n+p+p+D2+D2+He4+C12+N13,1,0.001
1350,p+p+D2+T3+He4+He4+C12,1,0.001
1351,n+p+p+D2+D2+He4+He4+C12+C12,1,0.001
1352,pi++n+n+n+D2+He4+He4+C12+C12+C12+C12,1,0.001
1353,n+p+p+p+p+p+He8,1,0.001
1354,n+n+n+n+n+n+p+p+p+p+He4+O15,1,0.001
1355,n+n+n+n+p+p+p+p+T3+He3+C12+C12,1,0.001
1356,n+n+n+p+D2+D2+D2+D2+He4+C12,1,0.001
1357,n+p+p+p+p+p+C12,1,0.001
1358,n+p+p+p+p+He4+He4+He4+C12,1,0.001
1359,n+n+n+n+n+n+n+n+p+p+p+p+p+p+D2+He4+He4+He4,1,0.001
1360,n+n+n+n+n+p+p+p+p+He4+C12+C12+Al27,1,0.001
1361,pi++n+n+p+He4+Li7+C12,1,0.001
1362,pi-+n+n+n+He3+B7,1,0.001
1363,n+n+n+D2+D2+D2+D2+D2+C12+O15,1,0.001
1364,pi++n+n+n+n+He4+He4+He4+C12,1,0.001
1365,n+n+p+p+p+D2+C12+Ne22,1,0.001
1366,n+n+n+n+n+p+p+p+p+D2+He3+C14,1,0.001
1367,pi++n+n+n+n+n+p+Na22,1,0.001
1368,p+p+p+p+Ne25,1,0.001
1369,n+p+p+He4+He6+Al27,1,0.001
1370,n+n+n+p+p+D2+D2+Li5+C12+C12,1,0.001
1371,n+p+He4+He4+He4+C12+Al27+Al27,1,0.001
1372,n+n+p+T3+Be7+C12+C12,1,0.001
1373,pi++n+n+n+B10+C12+C12+Al27,1,0.001
1374,pi-+n+n+n+n+p+p+p+p+He4+He4+C12+C12,1,0.001
1375,n+n+n+n+n+n+p+p+p+p+T3+O15,1,0.001
1376,p+p+p+p+p+p+p+C12+C12+C13,1,0.001
1377,pi-+pi-+n+p+p+C10,1,0.001
1378,n+n+n+n+p+p+p+p+p+p+D2+T3,1,0.001
1379,pi++n+p+B12,1,0.001
1380,pi++n+n+n+n+n+n+p+p+p+F19,1,0.001
1381,n+n+D2+D2+D2+He4+O16,1,0.001
1382,pi-+n+n+p+p+p+p+p+C12+Ne22,1,0.001
1383,p+p+p+Al27,1,0.001
1384,pi-+n+n+p+p+p+He3+Li6,1,0.001
1385,n+n+n+n+n+p+p+p+D2+He4+C12+N14,1,0.001
1386,pi++n+n+n+n+p+p+D2+He5,1,0.001
1387,n+n+n+n+n+p+p+p+p+p+p+p+C16,1,0.001
1388,pi-+n+n+n+n+p+p+p+p+p+D2+T3+N14,1,0.001
1389,n+n+p+p+p+Al26,1,0.001
1390,p+p+p+Be11,1,0.001
1391,n+n+n+n+p+p+He4+F18,1,0.001
1392,n+n+n+n+n+n+n+p+p+p+p+p+p+D2+D2+B11+C12,1,0.001
1393,pi++n+n+n+n+n+n+p+p+p+He4+N15,1,0.001
1394,pi-+n+n+n+n+p+p+p+p+He4+He4+C12,1,0.001
1395,p+p+He4+Be9+C12,1,0.001
1396,pi++n+n+n+n+n+n+n+n+p+p+p+p+O16,1,0.001
1397,n+n+n+n+p+p+p+D2+D2+He3+C12,1,0.001
1398,pi++n+n+p+p,1,0.001
1399,n+n+n+n+n+n+n+p+p+p+p+C12+F17,1,0.001
1400,pi-+n+n+p+D2+D2+He3+He3+C12,1,0.001
1401,n+n+n+p+He4+Be6,1,0.001
1402,n+n+n+n+p+p+p+D2+He4+C12+C13,1,0.001
1403,pi-+n+n+p+p+p+He4+Li5,1,0.001
1404,p+C12+C12+C13,1,0.001
1405,n+n+n+p+p+p+p+D2+O19,1,0.001
1406,pi++n+n+p+D2+D2+He6,1,0.001
1407,n+n+n+n+p+p+p+p+p+D2+T3+C12+C12,1,0.001
1408,n+p+p+p+D2+He7,1,0.001
1409,n+n+D2+He3+Li6,1,0.001
1410,n+n+n+n+p+He3+He4+He4+C12+C12,1,0.001
1411,pi++n+n+n+p+He4+He5+Al27,1,0.001
1412,n+n+p+p+He3+Li7+C12,1,0.001
1413,n+n+p+p+p+D2+C12+Na23,1,0.001
1414,pi++n+n+n+Mg25+Al27,1,0.001
1415,n+n+n+n+n+p+p+p+p+He4+He4+C12+C12,1,0.001
1416,pi++n+n+n+n+n+n+p+p+p+D2+O17,1,0.001
1417,n+n+p+p+p+D2+T3+Ne20,1,0.001
1418,n+p+p+p+B12,1,0.001
1419,n+n+n+n+n+p+p+p+p+D2+He4+C12+C13,1,0.001
1420,p+p+C12+C12+C12+C12+C12+C12,1,0.001
1421,n+p+p+p+p+He4+He4+He4+C12+C12+C12,1,0.001
1422,n+n+p+D2+He4+He4+C12+N15,1,0.001
1423,p+D2+He4+Li7,1,0.001
1424,pi-+n+n+p+He4+Be7,1,0.001
1425,pi-+n+n+n+p+p+p+p+Li6+C12+C12,1,0.001
1426,pi-+n+n+p+p+p+D2+Ne21,1,0.001
1427,pi-+n+n+p+p+D2+C12+Na22,1,0.001
1428,pi-+p+p+p+p+Li9,1,0.001
1429,pi-+n+n+p+He3+Na22,1,0.001
1430,pi-+n+n+n+p+p+B8+C12,1,0.001
1431,pi-+n+p+p+D2+D2+He3+He4+C12,1,0.001
1432,n+n+n+n+n+n+n+n+p+p+p+p+p+O15,1,0.001
1433,n+n+n+n+n+n+n+p+p+p+p+D2+D2+O14,1,0.001
1434,pi-+p+p+D2+D2+He4+He4+C12,1,0.001
1435,pi-+p+p+D2+T3+Li6,1,0.001
1436,pi++n+n+p+p+T3+T3+He4,1,0.001
1437,n+n+n+n+C10+C12,1,0.001
1438,pi++n+n+n+p+D2+Li7+C12,1,0.001
1439,n+n+n+n+n+n+n+p+p+p+p+p+He4+He4+He4+He4,1,0.001
1440,n+n+n+n+p+p+He4+He4+N14,1,0.001
1441,pi++p+p+T3+He8,1,0.001
1442,n+n+n+n+n+n+p+p+p+p+p+D2+C12+C12,1,0.001
1443,n+n+n+n+p+p+D2+Be6,1,0.001
1444,p+p+p+p+p+p+p+p+p+C12+C12+C12,1,0.001
1445,n+n+n+p+p+p+He4+C12+O18,1,0.001
1446,pi-+n+n+n+n+p+p+p+D2+He3+O16,1,0.001
1447,pi-+n+n+n+n+p+p+p+p+D2+D2+He4+C12+C12,1,0.001
1448,n+p+D2+Be10,1,0.001
1449,pi-+n+n+n+p+p+p+D2+Li5+C12,1,0.001
1450,pi-+n+n+n+p+p+p+He3+He4+Al27,1,0.001
1451,n+n+n+n+n+n+p+p+p+p+p+D2+T3+C12,1,0.001
1452,pi++n+p+B12+C13,1,0.001
1453,n+n+p+p+D2+He4+He4+C12+C12+C12+C12+Al27,1,0.001
1454,pi-+n+n+n+p+p+Mg23,1,0.001
1455,n+n+n+n+n+p+p+p+p+D2+D2+C12+N15,1,0.001
1456,n+n+p+p+C11+C12+Al27,1,0.001
1457,pi-+n+p+p+D2+T3+C12+Ne20,1,0.001
1458,n+n+n+p+p+D2+He4+O17,1,0.001
1459,pi-+n+n+n+p+p+p+p+p+p+D2+N17,1,0.001
1460,n+n+n+n+n+n+n+n+p+p+p+p+p+D2+D2+He3+He4+He4,1,0.001
1461,pi++n+n+n+p+D2+D2+D2+T3+C12,1,0.001
1462,n+p+C12+Mg26+Al27,1,0.001
1463,pi-+n+n+p+p+p+p+p+Li7,1,0.001
1464,pi++n+n+n+p+p+D2+Li7+C12,1,0.001
1465,n+p+p+p+p+p+B11,1,0.001
1466,pi++n+n+n+p+T3+T3+He3,1,0.001
1467,n+n+p+D2+T3+He4+C12+O16,1,0.001
1468,pi++n+n+n+He4+Li6+C12+C12+C12,1,0.001
1469,n+n+n+n+n+n+n+p+p+p+p+p+p+He4+He4+He4+He4+C12+C12,1,0.001
1470,p+p+p+p+p+p+p+p+C12,1,0.001
1471,pi-+n+p+p+p+D2+C12+Na23,1,0.001
1472,pi++n+n+n+n+p+T3+He4+O16,1,0.001
1473,pi-+n+n+p+p+p+T3+Li5+C12,1,0.001
1474,n+p+p+Be10+C12+Al27,1,0.001
1475,n+n+n+n+n+n+n+p+p+p+p+F17,1,0.001
1476,pi++n+n+n+p+D2+T3+He4+Al27,1,0.001
1477,n+p+p+T3+He4+He4+C12+C12+Al27,1,0.001
1478,n+n+p+p+p+H4+He4,1,0.001
1479,n+n+n+n+p+p+He4+He4+Al27,1,0.001
1480,n+p+p+He4+Li7+C12+C12+C12,1,0.001
1481,pi-+n+n+p+p+C10+C12,1,0.001
1482,n+n+n+p+p+p+p+He4+He4+C12+Al27,1,0.001
1483,pi-+n+n+p+p+p+p+p+T3+He4+C12,1,0.001
1484,n+n+p+p+D2+Li7+C12+C12,1,0.001
1485,pi-+n+n+n+p+p+p+p+T3+He3+C12,1,0.001
1486,pi-+n+n+p+p+p+p+He4+O18,1,0.001
1487,pi-+n+He4+B8,1,0.001
1488,n+p+C12+C12+C12+C12+C12,1,0.001
1489,pi-+n+p+p+D2+Be9+C12,1,0.001
1490,n+n+n+n+n+n+n+p+p+p+p+p+p+Al27,1,0.001
1491,pi-+D2+He4+He4+He4+C12,1,0.001
1492,n+n+n+n+p+p+p+p+D2+D2+D2,1,0.001
1493,n+n+n+n+p+D2+Be6+C12+C12+C12,1,0.001
1494,pi-+pi-+p+p+p+p+Be9,1,0.001
1495,n+n+n+n+p+p+D2+D2+T3+He3+He4+He4+He4,1,0.001
1496,pi++n+n+n+p+B11,1,0.001
1497,n+n+He3+He4+He4+N15,1,0.001
1498,pi-+n+n+n+n+n+n+p+p+p+p+p+p+p+D2+C13,1,0.001
1499,pi-+n+p+C12+C12+N12,1,0.001
1500,pi++n+n+n+n+n+p+p+D2+F19,1,0.001
1501,n+n+n+p+p+He4+He4+C12+C12+C13,1,0.001
1502,pi-+n+n+n+p+p+p+p+p+D2+He4+C12,1,0.001
1503,n+p+p+He4+He6+C13,1,0.001
1504,n+n+p+D2+He4+He4+N15,1,0.001
1505,p+p+He4+Be9+C12+C13,1,0.001
1506,pi++n+n+n+n+n+n+p+p+p+p+T3+T3+He4+He4+He4,1,0.001
1507,n+n+n+n+n+n+n+n+p+p+p+p+p+p+N14,1,0.001
1508,n+n+n+n+n+n+n+p+p+p+p+He3+N14,1,0.001
1509,pi-+n+n+n+n+p+p+p+p+p+p+p+He4,1,0.001
1510,pi++n+n+n+n+n+n+n+n+p+p+p+p+p,1,0.001
1511,n+n+n+p+D2+He3+Li5+C12+C12,1,0.001
1512,n+n+n+n+n+p+p+p+p+He4+C12+Al27,1,0.001
1513,n+n+n+C10+C12+C12,1,0.001
1514,n+n+n+p+Mg24+Al27,1,0.001
1515,pi-+n+p+D2+C12+Mg24,1,0.001
1516,n+p+T3+He4+He4+C13,1,0.001
1517,n+n+n+n+n+n+p+p+p+p+He4+C12,1,0.001
1518,n+n+n+n+p+p+p+p+D2+D2+He3,1,0.001
1519,n+n+n+n+p+p+p+D2+D2+D2+C12+C12+C12,1,0.001
1520,n+n+n+n+n+p+p+p+Be6+C12,1,0.001
1521,pi++n+n+n+n+n+p+He3+He4+Al27,1,0.001
1522,p+p+D2+Ne24,1,0.001
1523,n+n+n+n+n+p+p+p+p+p+T3+O16,1,0.001
1524,pi-+n+n+n+n+Si24,1,0.001
1525,pi-+n+n+p+p+D2+Be7+C12+C12,1,0.001
1526,pi++n+n+n+n+p+He4+He4+C13,1,0.001
1527,n+n+n+p+p+D2+C12+Ne21,1,0.001
1528,pi++n+n+n+D2+D2+Li6,1,0.001
1529,pi-+n+n+p+He4+Be6+C12,1,0.001
1530,n+p+p+He4+C12+C12+Na23,1,0.001
1531,pi-+n+n+p+p+p+p+p+p+T3+He4,1,0.001
1532,p+p+p+p+p+C12+Al27,1,0.001
1533,pi++n+n+T3+He4+He4+C13,1,0.001
1534,n+n+n+n+n+n+p+p+p+p+D2+D2+D2+He4+He4+He4,1,0.001
1535,pi-+n+n+n+n+p+p+He3+Li4,1,0.001
1536,pi-+n+n+n+p+p+D2+Na21,1,0.001
1537,n+p+p+p+D2+Be9+C12+C12,1,0.001
1538,p+p+p+p+C12+C12+C12+C12+Al27,1,0.001
1539,n+n+n+n+p+He3+He4+C12+C12+O16,1,0.001
1540,pi-+n+n+n+n+p+p+p+p+p+He4+Al27,1,0.001
1541,pi++n+n+n+p+Mg25,1,0.001
1542,p+p+B12+C12+C12+C12,1,0.001
1543,n+n+n+p+p+p+D2+T3+He3+C12,1,0.001
1544,pi++n+n+n+n+p+C12+Na23,1,0.001
1545,n+n+p+p+p+p+p+p+D2+He4+He4,1,0.001
1546,pi++n+n+n+p+p+D2+He7,1,0.001
1547,p+D2+T3+He4+He4+C12,1,0.001
1548,n+n+n+n+p+p+p+D2+T3+He4+C12,1,0.001
1549,pi-+n+n+n+p+He3+He3+He3,1,0.001
1550,pi-+n+p+p+p+T3+He3+He4,1,0.001
1551,pi-+p+p+p+Mg26,1,0.001
1552,n+p+p+He4+C12+Na23,1,0.001
1553,n+n+n+n+n+p+p+p+He3+He3,1,0.001
1554,n+p+p+D2+D2+He4+He4+C12,1,0.001
1555,pi-+n+n+p+p+p+D2+C12+Ne21,1,0.001
1556,n+n+n+n+n+p+p+D2+He3+He4+C12+C12,1,0.001
1557,pi-+n+n+n+p+p+p+B8,1,0.001
1558,pi++n+D2+He4+He6,1,0.001
1559,n+n+n+n+n+n+p+p+p+p+p+p+D2+C12,1,0.001
1560,pi++n+n+n+n+D2+D2+C12+C12+Ne20,1,0.001
1561,pi-+n+p+p+p+D2+C12+Ne22,1,0.001
1562,n+n+n+p+p+p+p+p+Ne22,1,0.001
1563,pi++n+n+n+n+p+p+D2+D2+T3+C12,1,0.001
1564,n+p+p+T3+T3+He4+C12+C12,1,0.001
1565,n+n+n+p+p+D2+D2+He4+C12+C12+C13,1,0.001
1566,n+p+D2+T3+Li6,1,0.001
1567,pi-+n+p+He3+He4+He4+Al27,1,0.001
1568,pi-+p+D2+He3+He4+He4,1,0.001
1569,n+n+n+n+n+p+p+p+p+He4+He4+C12,1,0.001
1570,pi++n+n+n+p+p+T3+He5,1,0.001
1571,pi-+n+p+He4+Be7+C12+C12,1,0.001
1572,n+p+p+p+B11+Al27,1,0.001
1573,pi-+n+p+p+p+Be9+Al27,1,0.001
1574,pi-+p+p+T3+He4+He4+C12+C12,1,0.001
1575,n+n+n+p+p+p+p+Li7+C12,1,0.001
1576,p+p+D2+B11+C12+C12+C12,1,0.001
1577,n+n+p+p+D2+T3+He4+He4+C12,1,0.001
1578,n+n+p+p+C12,1,0.001
1579,n+n+n+n+p+p+p+p+He5+C12,1,0.001
1580,n+n+n+n+n+n+p+p+p+p+p+p+D2+C14,1,0.001
1581,pi-+n+p+p+He4+He4+He4,1,0.001
1582,pi-+n+n+p+p+p+D2+D2+D2+T3,1,0.001
1583,n+n+n+n+n+n+n+n+n+p+p+p+p+p+p+p+D2+D2+He4+He4,1,0.001
1584,n+n+n+n+n+n+n+p+p+p+p+p+D2+D2+He4+He4+He4,1,0.001
1585,pi-+n+p+p+D2+Be9,1,0.001
1586,n+n+n+p+p+D2+T3+He4,1,0.001
1587,pi++n+n+n+n+p+p+p+Li7+C12,1,0.001
1588,pi-+p+p+He4+He4+He4+C12+C12,1,0.001
1589,p+p+D2+B11+C12+C12+C12+C12,1,0.001
1590,pi-+p+p+B11+C12+C12+C12,1,0.001
1591,n+n+p+He4+Li6+C12+C12,1,0.001
1592,n+n+n+p+p+p+p+D2+He5,1,0.001
1593,pi-+n+n+p+p+p+p+p+He6+C12,1,0.001
1594,n+n+p+p+D2+He4+He4+C12+Al27,1,0.001
1595,pi-+n+p+p+p+p+p+Be9,1,0.001
1596,n+n+n+D2+D2+He3+He3+C12,1,0.001
1597,n+p+p+He4+He6+C12+C12,1,0.001
1598,pi-+n+n+n+p+p+p+He3+He4+C13,1,0.001
1599,n+n+n+n+n+n+n+p+p+p+p+p+p+p+C12+C12,1,0.001
1600,n+n+n+n+n+p+p+p+p+p+p+He4,1,0.001
1601,n+n+n+n+n+n+n+p+p+p+p+He4+N13,1,0.001
1602,n+n+n+p+p+p+p+p+T3+O18,1,0.001
1603,n+n+n+n+n+n+p+p+p+p+p+D2+O16,1,0.001
1604,pi-+n+n+p+p+D2+D2+He4+O16,1,0.001
1605,p+p+p+p+D2+B11+C12+C12+C12,1,0.001
1606,n+n+n+n+n+n+p+p+p+p+p+He4+C12+N14,1,0.001
1607,pi++n+n+B12,1,0.001
1608,n+p+p+p+p+p+C12+C12+C12,1,0.001
1609,n+p+p+p+D2+Be9,1,0.001
1610,pi-+n+p+p+D2+He4+He4+C12+C13,1,0.001
1611,n+p+p+He4+He4+He4+C12+C12+Al27,1,0.001
1612,n+n+p+p+p+B11+C12,1,0.001
1613,n+n+n+He3+Be7+C12+C12,1,0.001
1614,n+n+n+p+p+p+p+He4+He4+C13,1,0.001
1615,pi++n+n+p+p+p+T3+He6+C12,1,0.001
1616,p+p+p+p+p+p+p+C12+C12+C12+C12+C12,1,0.001
1617,n+n+n+n+p+p+He3+He4+C13,1,0.001
1618,pi-+n+n+n+n+p+p+p+p+Li5+C12,1,0.001
1619,n+D2+T3+He4+He4,1,0.001
1620,pi++n+n+n+n+p+D2+Be7,1,0.001
1621,pi-+n+n+n+p+p+p+He4+He4+C12+C12,1,0.001
1622,pi++n+n+n+n+p+p+D2+Li6+C12,1,0.001
1623,n+n+n+n+n+p+p+p+He4+He4+C12+C13,1,0.001
1624,pi-+p+p+p+D2+D2+T3+He4,1,0.001
1625,n+n+D2+He3+Li6+C12,1,0.001
